RespondentID,Age,How important would you say feeling productive is to your happiness?,How productive do you currently feel overall?,In what city do you live?,In what state or U.S. state or territory do you live (if applicable)?,What country do you live in?,What is the biggest challenge you face to being productive?,When are you most productive?,Which of the following best describes the principal industry of your organization?,Date
5082519605,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5082591316,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5082617239,,Very important to my overall happiness,Moderately productive,,,,,Afternoon,,2014-01-01
5082649145,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5082699946,,Very important to my overall happiness,Moderately productive,,,United States of America,Distractions (e.g. Social Media),Mid-Morning,Business Support & Logistics,2014-01-01
5082710439,,Very important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Late Night,Advertising & Marketing,2014-01-01
5082722412,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5082821029,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5083611219,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5084705700,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5084757837,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5085399323,,Very important to my overall happiness,Moderately productive,,,,,Late Night,,2014-01-01
5087568068,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5087635850,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5089145385,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5089171478,,Very important to my overall happiness,Moderately productive,,,,Distractions (e.g. Social Media),,,2014-01-01
5089620139,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5089846906,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2014-01-01
5089868622,,Very important to my overall happiness,Moderately productive,,,,,Afternoon,,2014-01-01
5090019882,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2015-01-01
5092602001,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2015-01-01
5093429070,,Very important to my overall happiness,Moderately productive,,,,,Late Night,,2015-01-01
5093482560,,Very important to my overall happiness,Moderately productive,,,,Distractions (e.g. Social Media),Evening,,2015-01-01
5094942073,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2015-01-01
5095033931,,Very important to my overall happiness,Moderately productive,,,,,Afternoon,,2015-01-01
5095128240,,Very important to my overall happiness,Moderately productive,,,,Time Management,Late Night,,2015-01-01
5095200163,,Very important to my overall happiness,Moderately productive,,,Canada,Distractions (e.g. Social Media),Mid-Morning,Healthcare & Pharmaceuticals,2015-01-01
5097014185,,Very important to my overall happiness,Moderately productive,,,,,Early Morning,,2015-01-01
5098874893,,Very important to my overall happiness,Moderately productive,,,,,Mid-Morning,,2015-01-01
5089284188,,Very important to my overall happiness,Moderately productive,,,United States of America,Time Management,Evening,Advertising & Marketing,2015-01-01
5047252006,,Very important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Mid-Morning,Healthcare & Pharmaceuticals,2015-01-01
5095897593,,Very important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Mid-Morning,Healthcare & Pharmaceuticals,2015-01-01
5098834836,,Very important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Early Morning,Entertainment & Leisure,2015-01-01
5047186967,,Very important to my overall happiness,Moderately productive,,,United States of America,Time Management,Evening,Retail & Consumer Durables,2015-01-01
5070348444,,Very important to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Mid-Morning,Nonprofit,2015-01-01
5046972395,,Very important to my overall happiness,Moderately productive,,,United States of America,Time Management,Late Night,,2015-01-01
5046383456,,Very important to my overall happiness,Moderately unproductive,,,United States of America,Other (please specify),Afternoon,"Telecommunications, Technology, Internet & Electronics",2015-01-01
5046552083,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2015-01-01
5046598074,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5047210253,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2015-01-01
5048797197,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5052603241,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2015-01-01
5069964803,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2016-01-01
5073249386,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2016-01-01
5081918357,,Very important to my overall happiness,Moderately unproductive,,,,,Afternoon,,2016-01-01
5081935443,,Very important to my overall happiness,Moderately unproductive,,,,,Afternoon,,2016-01-01
5081943335,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2016-01-01
5082269897,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2016-01-01
5082648019,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2016-01-01
5082687575,,Very important to my overall happiness,Moderately unproductive,,,Singapore,Other (please specify),Mid-Morning,Education,2016-01-01
5088016840,,Very important to my overall happiness,Moderately unproductive,,,Nigeria,Time Management,Late Night,Education,2016-01-01
5089092789,,Very important to my overall happiness,Moderately unproductive,,,,,Afternoon,,2016-01-01
5089093404,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2016-01-01
5089098749,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2016-01-01
5089317026,,Very important to my overall happiness,Moderately unproductive,,,,,,,2016-01-01
5089552581,,Very important to my overall happiness,Moderately unproductive,,,,,Evening,,2016-01-01
5089675083,,Very important to my overall happiness,Moderately unproductive,,,,,Late Night,,2016-01-01
5093157601,,Very important to my overall happiness,Moderately unproductive,,,,,Early Morning,,2016-01-01
5093772255,,Very important to my overall happiness,Moderately unproductive,,,,Constantly being interrupted by colleagues,Early Morning,,2016-01-01
5098308526,,Very important to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2016-01-01
5089113858,,Very important to my overall happiness,Moderately unproductive,,,United States of America,Time Management,Afternoon,Student,2016-01-01
5050332365,,Very important to my overall happiness,Neither unproductive nor productive,,,,,Mid-Morning,,2016-01-01
5051419788,,Very important to my overall happiness,Neither unproductive nor productive,,,Belgium,Distractions (e.g. Social Media),Mid-Morning,I am currently not employed,2016-01-01
5055748832,,Very important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5059917476,,Very important to my overall happiness,Neither unproductive nor productive,,,United States of America,Other (please specify),Afternoon,Healthcare & Pharmaceuticals,2016-01-01
5072476997,,Very important to my overall happiness,Neither unproductive nor productive,,,United States of America,Time Management,Mid-Morning,,2016-01-01
5082365757,,Very important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2016-01-01
5083495100,,Very important to my overall happiness,Neither unproductive nor productive,,,,,Afternoon,,2016-01-01
5087448400,,Very important to my overall happiness,Neither unproductive nor productive,,,,,Afternoon,,2017-01-01
5089722805,,Very important to my overall happiness,Neither unproductive nor productive,,,United States of America,Constantly being interrupted by colleagues,Mid-Morning,Advertising & Marketing,2017-01-01
5093446974,,Very important to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2017-01-01
5098164939,,Very important to my overall happiness,Neither unproductive nor productive,,,,Time Management,Early Morning,,2017-01-01
5046410057,,Very important to my overall happiness,Neither unproductive nor productive,,,United States of America,Time Management,Early Morning,Manufacturing,2017-01-01
5071866008,,Very important to my overall happiness,Neither unproductive nor productive,,,Switzerland,Time Management,Afternoon,Healthcare & Pharmaceuticals,2017-01-01
5046416354,,Very important to my overall happiness,Very productive,,,,,Early Morning,,2017-01-01
5047208987,,Very important to my overall happiness,Very productive,,,,,Early Morning,,2017-01-01
5047306401,,Very important to my overall happiness,Very productive,,,,,Late Night,,2017-01-01
5048212119,,Very important to my overall happiness,Very productive,,,,,Early Morning,,2017-01-01
5081882762,,Very important to my overall happiness,Very productive,,,,,Mid-Morning,,2017-01-01
5081937453,,Very important to my overall happiness,Very productive,,,United Kingdom of Great Britain and Northern Ireland,Constantly being interrupted by colleagues,Mid-Morning,Business Support & Logistics,2017-01-01
5082270174,,Very important to my overall happiness,Very productive,,,,,Evening,,2017-01-01
5082645362,,Very important to my overall happiness,Very productive,,,,,Early Morning,,2017-01-01
5084061457,,Very important to my overall happiness,Very productive,,,,,Afternoon,,2017-01-01
5095207989,,Very important to my overall happiness,Very productive,,,,,Evening,,2017-01-01
5096832771,,Very important to my overall happiness,Very productive,,,,,Afternoon,,2017-01-01
5097792451,,Very important to my overall happiness,Very productive,,,,,Evening,,2017-01-01
5082460191,,Very important to my overall happiness,Very productive,,,United States of America,Not having the right technology,Mid-Morning,Retail & Consumer Durables,2017-01-01
5096237028,,Very important to my overall happiness,Very productive,,,United States of America,Not having the right technology,Early Morning,,2017-01-01
5046401711,,Very important to my overall happiness,Very productive,,,Canada,Other (please specify),Late Night,,2017-01-01
5047196468,,Very important to my overall happiness,Very unproductive,,,,Time Management,Late Night,,2017-01-01
5047694388,,Very important to my overall happiness,Very unproductive,,,Czech Republic,Not having the right technology,Late Night,Airlines & Aerospace (including Defense),2017-01-01
5059671251,,Very important to my overall happiness,Very unproductive,,,,,Early Morning,,2017-01-01
5081933760,,Very important to my overall happiness,Very unproductive,,,,,Evening,,2017-01-01
5082163406,,Very important to my overall happiness,Very unproductive,,,,,Early Morning,,2017-01-01
5082175588,,Very important to my overall happiness,Very unproductive,,,,,Mid-Morning,,2017-01-01
5082177335,,Very important to my overall happiness,Very unproductive,,,United States of America,Time Management,,Advertising & Marketing,2017-01-01
5083141625,,Very important to my overall happiness,Very unproductive,,,,,Early Morning,,2017-01-01
5086703417,,Very important to my overall happiness,Very unproductive,,,,,Early Morning,,2013-01-01
5089095799,,Very important to my overall happiness,Very unproductive,,,United States of America,Time Management,Early Morning,Student,2013-01-01
5089177427,,Very important to my overall happiness,Very unproductive,,,,,Mid-Morning,,2013-01-01
5089182984,,Very important to my overall happiness,Very unproductive,,,,,Afternoon,,2013-01-01
5089233977,,Very important to my overall happiness,Very unproductive,,,,,Evening,,2013-01-01
5089252790,,Very important to my overall happiness,Very unproductive,,,,,Early Morning,,2013-01-01
5089825412,,Very important to my overall happiness,Very unproductive,,,,,Mid-Morning,,2013-01-01
5089959615,,Very important to my overall happiness,Very unproductive,,,,,Mid-Morning,,2013-01-01
5093287457,,Very important to my overall happiness,Very unproductive,,,United States of America,Distractions (e.g. Social Media),Early Morning,Advertising & Marketing,2013-01-01
5093461131,,Very important to my overall happiness,Very unproductive,,,,,Afternoon,,2013-01-01
5098981186,,Very important to my overall happiness,Very unproductive,,,United States of America,Time Management,Late Night,Retail & Consumer Durables,2013-01-01
5009101881,,,,,,,,,,2013-01-01
5082260761,,Moderately unimportant to my overall happiness,Moderately unproductive,,,,Constantly being interrupted by colleagues,Afternoon,,2013-01-01
5095809804,,Moderately unimportant to my overall happiness,Moderately unproductive,,,,Time Management,Mid-Morning,,2013-01-01
5098827351,,Moderately unimportant to my overall happiness,Moderately unproductive,,,United States of America,Time Management,Mid-Morning,Healthcare & Pharmaceuticals,2013-01-01
5048191996,,Neither important nor unimportant to my overall happiness,Moderately productive,,,United States of America,Distractions (e.g. Social Media),Mid-Morning,Government,2013-01-01
5081930626,,Neither important nor unimportant to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Early Morning,Government,2013-01-01
5082426096,,Neither important nor unimportant to my overall happiness,Moderately productive,,,United States of America,Constantly being interrupted by colleagues,Afternoon,Business Support & Logistics,2013-01-01
5093515909,,Neither important nor unimportant to my overall happiness,Moderately productive,,,United States of America,Other (please specify),Mid-Morning,Advertising & Marketing,2013-01-01
5046510925,,Neither important nor unimportant to my overall happiness,Moderately productive,,,United States of America,Distractions (e.g. Social Media),Early Morning,Government,2013-01-01
5052707699,,Neither important nor unimportant to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2013-01-01
5089169022,,Neither important nor unimportant to my overall happiness,Neither unproductive nor productive,,,,,Afternoon,,2013-01-01
5087644678,,Neither important nor unimportant to my overall happiness,Very productive,,,,,Mid-Morning,,2013-01-01
5047434250,,Very unimportant to my overall happiness,Moderately productive,,,,,Mid-Morning,,2013-01-01
5048897285,,Very unimportant to my overall happiness,Moderately productive,,,,,Early Morning,,2014-01-01
5082358272,,Very unimportant to my overall happiness,Moderately unproductive,,,,,Mid-Morning,,2014-01-01
5083457812,,Very unimportant to my overall happiness,Moderately unproductive,,,France,Time Management,Early Morning,Student,2014-01-01
5083797293,,Very unimportant to my overall happiness,Moderately unproductive,,,,,Early Morning,,2014-01-01
5048283525,,Very unimportant to my overall happiness,Neither unproductive nor productive,,,,,Early Morning,,2014-01-01
